frame,cx,cy,radius,red_x,red_y,blue_x,blue_y
347,310,192,37,324,217,-1,-1
348,310,192,38,328,217,-1,-1
349,310,192,36,-1,-1,-1,-1
350,310,194,37,-1,-1,-1,-1
351,310,192,37,-1,-1,-1,-1
352,310,192,37,-1,-1,-1,-1
353,311,193,38,-1,-1,-1,-1
354,310,192,37,-1,-1,-1,-1
355,310,192,37,-1,-1,-1,-1
356,310,192,37,-1,-1,-1,-1
357,310,192,37,-1,-1,-1,-1
358,310,192,37,-1,-1,-1,-1
359,310,192,37,-1,-1,-1,-1
360,310,192,37,-1,-1,-1,-1
361,310,192,37,-1,-1,-1,-1
362,310,192,37,-1,-1,-1,-1
363,311,193,37,-1,-1,-1,-1
364,311,193,38,-1,-1,-1,-1
365,310,192,38,-1,-1,-1,-1
366,310,191,38,326,164,-1,-1
367,310,192,37,322,163,-1,-1
368,310,191,38,320,163,-1,-1
369,310,192,38,317,163,-1,-1
370,310,191,38,313,165,-1,-1
371,310,192,36,310,167,-1,-1
372,310,192,36,308,170,-1,-1
373,310,192,36,306,173,-1,-1
374,310,192,37,304,176,-1,-1
375,310,192,37,303,180,-1,-1
376,308,192,38,302,185,-1,-1
377,310,192,37,302,194,-1,-1
378,310,192,37,306,202,-1,-1
379,310,192,36,308,205,-1,-1
380,310,192,36,310,208,-1,-1
381,310,192,37,313,211,-1,-1
382,310,192,36,316,213,-1,-1
383,310,192,36,320,215,-1,-1
384,310,192,37,323,216,-1,-1
385,310,192,37,326,216,-1,-1
386,310,192,37,329,215,-1,-1
387,310,192,38,331,215,-1,-1
388,310,192,37,-1,-1,-1,-1
389,310,192,37,-1,-1,-1,-1
390,310,192,37,-1,-1,-1,-1
391,310,192,38,-1,-1,-1,-1
392,310,192,37,-1,-1,-1,-1
393,311,190,36,-1,-1,-1,-1
394,310,192,37,-1,-1,-1,-1
395,310,192,37,-1,-1,-1,-1
396,310,192,37,-1,-1,-1,-1
397,310,192,37,-1,-1,-1,-1
398,310,192,37,-1,-1,-1,-1
399,310,190,37,-1,-1,-1,-1
400,310,192,37,-1,-1,-1,-1
401,310,190,36,-1,-1,-1,-1
402,311,191,37,-1,-1,-1,-1
403,311,191,37,-1,-1,-1,-1
404,311,192,37,-1,-1,-1,-1
405,310,190,37,323,162,-1,-1
406,311,192,37,320,162,-1,-1
407,310,190,37,317,161,-1,-1
408,310,190,38,314,163,-1,-1
409,312,190,37,311,165,-1,-1
410,310,190,37,308,168,-1,-1
411,310,190,37,306,170,-1,-1
412,310,190,37,305,174,-1,-1
413,310,190,37,303,178,-1,-1
414,310,190,37,303,182,-1,-1
415,311,190,37,302,187,-1,-1
416,311,190,37,303,191,-1,-1
417,312,190,37,306,199,-1,-1
418,310,190,37,308,203,-1,-1
419,310,190,37,310,206,-1,-1
420,312,190,38,313,209,-1,-1
421,312,190,38,317,212,-1,-1
422,312,190,37,320,214,-1,-1
423,312,190,38,323,215,-1,-1
424,312,190,38,327,215,-1,-1
425,311,191,38,330,215,-1,-1
426,312,190,38,332,214,-1,-1
427,312,190,38,-1,-1,-1,-1
428,312,190,38,-1,-1,-1,-1
429,312,190,38,-1,-1,-1,-1
430,312,190,38,-1,-1,-1,-1
431,312,190,37,-1,-1,-1,-1
432,312,190,38,-1,-1,-1,-1
433,312,190,36,-1,-1,-1,-1
434,312,190,37,-1,-1,-1,-1
435,312,190,37,-1,-1,-1,-1
436,312,190,37,-1,-1,-1,-1
437,312,190,38,-1,-1,-1,-1
438,312,190,38,-1,-1,-1,-1
439,312,190,38,-1,-1,-1,-1
440,312,190,38,-1,-1,-1,-1
441,311,190,36,-1,-1,-1,-1
442,313,190,38,-1,-1,-1,-1
443,313,189,38,-1,-1,-1,-1
444,313,190,38,326,160,-1,-1
445,312,190,38,323,160,-1,-1
446,313,190,37,321,160,-1,-1
447,313,190,37,317,161,-1,-1
448,313,190,37,314,163,-1,-1
449,312,190,38,311,165,-1,-1
450,313,190,37,309,168,-1,-1
451,313,190,37,307,171,-1,-1
452,314,190,36,305,175,-1,-1
453,314,190,36,304,179,-1,-1
454,314,190,36,304,183,-1,-1
455,314,190,36,304,188,-1,-1
456,313,190,36,304,193,-1,-1
457,314,190,36,306,197,-1,-1
458,314,190,37,307,201,-1,-1
459,314,190,37,309,204,-1,-1
460,313,190,36,313,207,-1,-1
461,314,190,37,316,210,-1,-1
462,314,190,37,319,212,-1,-1
463,314,190,37,322,214,-1,-1
464,314,190,37,326,215,-1,-1
465,314,190,37,328,215,-1,-1
466,314,192,37,332,215,-1,-1
467,314,190,37,-1,-1,-1,-1
468,314,190,36,-1,-1,-1,-1
469,314,190,37,-1,-1,-1,-1
470,314,190,37,-1,-1,-1,-1
471,314,190,37,-1,-1,-1,-1
472,314,190,37,-1,-1,-1,-1
473,314,190,36,-1,-1,-1,-1
474,314,190,36,-1,-1,-1,-1
475,314,190,36,-1,-1,-1,-1
476,314,191,38,-1,-1,-1,-1
477,314,191,38,-1,-1,-1,-1
478,315,191,38,-1,-1,-1,-1
479,314,190,37,-1,-1,-1,-1
480,315,191,38,-1,-1,-1,-1
481,315,191,38,-1,-1,-1,-1
482,315,191,38,-1,-1,-1,-1
483,315,191,38,-1,-1,-1,-1
484,315,191,38,-1,-1,-1,-1
485,315,191,38,326,162,-1,-1
486,315,191,38,323,161,-1,-1
487,316,192,37,319,162,-1,-1
488,315,191,38,315,163,-1,-1
489,314,192,37,312,165,-1,-1
490,315,192,37,309,168,-1,-1
491,315,191,37,307,172,-1,-1
492,315,192,37,305,176,-1,-1
493,315,192,37,304,180,-1,-1
494,316,192,36,303,184,-1,-1
495,316,192,36,303,189,-1,-1
496,316,192,36,304,194,-1,-1
497,316,192,38,305,199,-1,-1
498,316,192,37,307,203,-1,-1
499,316,192,37,309,207,-1,-1
500,316,192,37,312,210,-1,-1
