frame,cx,cy,radius,red_x,red_y,blue_x,blue_y
551,311,200,37,-1,-1,306,176
552,312,200,37,-1,-1,305,188
553,311,200,37,-1,-1,305,203
554,311,199,38,-1,-1,307,218
555,311,198,36,-1,-1,309,226
556,311,198,36,-1,-1,-1,-1
557,311,200,37,-1,-1,-1,-1
558,312,198,39,294,176,-1,-1
559,311,199,38,292,188,-1,-1
560,311,199,38,292,203,-1,-1
561,311,199,38,295,216,-1,-1
562,311,199,38,-1,-1,-1,-1
563,311,199,38,-1,-1,-1,-1
564,311,199,38,-1,-1,-1,-1
565,312,200,37,-1,-1,-1,-1
566,312,198,37,-1,-1,-1,-1
567,311,198,38,-1,-1,305,179
568,312,198,37,-1,-1,305,193
569,312,198,38,-1,-1,305,208
570,312,198,36,-1,-1,307,222
571,311,198,37,-1,-1,311,228
572,311,197,38,-1,-1,-1,-1
573,311,197,38,296,169,-1,-1
574,310,198,38,293,179,-1,-1
575,312,198,37,292,193,-1,-1
576,311,198,37,293,207,-1,-1
577,312,198,37,-1,-1,-1,-1
578,312,198,37,-1,-1,-1,-1
579,311,198,37,-1,-1,-1,-1
580,310,197,38,-1,-1,-1,-1
581,311,197,38,-1,-1,-1,-1
582,311,197,38,-1,-1,-1,-1
583,312,196,36,-1,-1,304,183
584,312,196,36,-1,-1,303,198
585,312,196,36,-1,-1,305,213
586,311,197,38,-1,-1,307,224
587,311,196,38,-1,-1,-1,-1
588,310,196,37,-1,-1,-1,-1
589,311,196,38,294,171,-1,-1
590,311,196,38,293,183,-1,-1
591,311,196,38,293,197,-1,-1
592,312,196,37,294,211,-1,-1
593,310,196,38,-1,-1,-1,-1
594,311,196,38,-1,-1,-1,-1
595,311,196,38,-1,-1,-1,-1
596,311,196,38,-1,-1,-1,-1
597,310,196,38,-1,-1,-1,-1
598,311,196,37,-1,-1,304,174
599,311,196,37,-1,-1,303,188
600,311,196,37,-1,-1,303,203
601,312,194,37,-1,-1,305,217
602,311,195,38,-1,-1,308,225
603,310,196,37,-1,-1,-1,-1
604,312,194,38,297,166,-1,-1
605,312,194,38,294,174,-1,-1
606,311,195,38,292,188,-1,-1
607,311,195,38,293,202,-1,-1
608,311,195,38,294,214,-1,-1
609,311,195,38,-1,-1,-1,-1
610,311,195,38,-1,-1,-1,-1
611,311,195,38,-1,-1,-1,-1
612,311,194,37,-1,-1,-1,-1
613,310,194,37,-1,-1,-1,-1
614,311,194,37,-1,-1,302,179
615,311,194,37,-1,-1,302,193
616,310,194,38,-1,-1,303,208
617,310,194,37,-1,-1,306,220
618,311,194,36,-1,-1,-1,-1
619,310,194,36,-1,-1,-1,-1
620,311,193,38,294,167,-1,-1
621,309,194,36,292,178,-1,-1
622,310,194,38,292,193,-1,-1
623,310,194,38,293,207,-1,-1
624,311,194,37,295,218,-1,-1
625,310,194,38,-1,-1,-1,-1
626,310,193,38,-1,-1,-1,-1
627,310,193,38,-1,-1,-1,-1
628,310,193,38,-1,-1,-1,-1
629,310,194,37,-1,-1,303,171
630,311,194,37,-1,-1,301,184
631,310,194,37,-1,-1,301,200
632,311,192,37,-1,-1,304,214
633,310,192,36,-1,-1,306,221
634,310,192,36,-1,-1,-1,-1
635,312,193,39,297,164,-1,-1
636,310,194,37,293,172,-1,-1
637,310,194,37,292,185,-1,-1
638,310,194,37,292,200,-1,-1
639,311,194,38,296,214,-1,-1
640,310,194,37,-1,-1,-1,-1
641,309,193,38,-1,-1,-1,-1
642,310,193,38,-1,-1,-1,-1
643,310,194,37,-1,-1,-1,-1
644,310,194,37,-1,-1,-1,-1
645,310,194,37,-1,-1,302,178
646,310,194,37,-1,-1,301,193
647,310,194,37,-1,-1,302,208
648,310,192,36,-1,-1,305,219
649,310,194,37,-1,-1,-1,-1
650,310,194,37,-1,-1,-1,-1
651,311,194,38,295,167,-1,-1
652,310,194,38,292,180,-1,-1
653,310,194,38,292,194,-1,-1
654,310,194,38,293,208,-1,-1
655,311,194,38,-1,-1,-1,-1
656,310,194,38,-1,-1,-1,-1
657,310,194,38,-1,-1,-1,-1
658,310,194,38,-1,-1,-1,-1
659,310,194,38,-1,-1,-1,-1
660,309,194,38,-1,-1,-1,-1
661,310,194,36,-1,-1,300,187
662,310,194,37,-1,-1,301,203
663,310,194,37,-1,-1,303,217
664,310,194,37,-1,-1,308,224
665,310,194,37,-1,-1,-1,-1
666,310,194,37,296,166,-1,-1
667,310,194,37,293,175,-1,-1
668,310,194,38,292,188,-1,-1
669,310,194,36,293,203,-1,-1
670,310,195,38,295,216,-1,-1
671,310,196,37,-1,-1,-1,-1
672,310,195,38,-1,-1,-1,-1
673,310,196,37,-1,-1,-1,-1
674,310,195,38,-1,-1,-1,-1
675,310,195,38,-1,-1,-1,-1
676,310,195,38,-1,-1,299,183
677,310,196,37,-1,-1,300,198
678,310,196,37,-1,-1,302,213
679,310,196,38,-1,-1,304,223
680,310,196,37,-1,-1,-1,-1
681,310,196,37,-1,-1,-1,-1
682,310,196,38,294,170,-1,-1
683,310,196,36,292,184,-1,-1
684,310,196,38,292,198,-1,-1
685,310,196,37,294,213,-1,-1
686,310,196,38,-1,-1,-1,-1
687,310,196,37,-1,-1,-1,-1
688,310,196,38,-1,-1,-1,-1
689,310,196,38,-1,-1,-1,-1
690,310,196,38,-1,-1,-1,-1
691,310,196,37,-1,-1,-1,-1
692,310,196,36,-1,-1,299,192
693,310,196,36,-1,-1,300,208
694,310,196,36,-1,-1,303,221
695,310,196,36,-1,-1,-1,-1
696,310,196,36,-1,-1,-1,-1
697,311,197,38,296,169,-1,-1
698,310,198,37,293,180,-1,-1
699,310,198,38,292,193,-1,-1
700,311,198,38,293,208,-1,-1
701,311,198,38,-1,-1,-1,-1
702,311,198,38,-1,-1,-1,-1
703,311,198,38,-1,-1,-1,-1
704,311,197,38,-1,-1,-1,-1
705,310,198,38,-1,-1,-1,-1
706,311,199,38,-1,-1,-1,-1
707,312,198,36,-1,-1,299,187
708,312,198,37,-1,-1,299,203
709,312,198,36,-1,-1,301,218
710,310,199,38,-1,-1,304,227
711,310,198,37,-1,-1,-1,-1
712,311,198,38,-1,-1,-1,-1
713,312,198,38,295,175,-1,-1
714,312,198,36,292,188,-1,-1
715,311,199,38,292,204,-1,-1
716,312,200,37,294,218,-1,-1
717,311,199,38,-1,-1,-1,-1
718,312,200,37,-1,-1,-1,-1
719,311,200,37,-1,-1,-1,-1
720,311,200,37,-1,-1,-1,-1
721,311,199,38,-1,-1,-1,-1
722,311,200,37,-1,-1,-1,-1
723,311,200,37,-1,-1,299,198
724,312,198,37,-1,-1,300,214
725,311,199,38,-1,-1,303,226
726,310,200,38,-1,-1,-1,-1
727,310,200,37,-1,-1,-1,-1
728,311,200,38,296,173,-1,-1
729,311,200,38,293,184,-1,-1
730,312,200,38,293,199,-1,-1
731,311,200,37,293,213,-1,-1
732,312,200,37,-1,-1,-1,-1
733,312,200,37,-1,-1,-1,-1
734,312,200,36,-1,-1,-1,-1
735,312,200,38,-1,-1,-1,-1
736,311,201,38,-1,-1,-1,-1
